Concurso,Faixa,Ganhadores,Prêmio
2586,12 Acertos,107272,"R$ 10,00"
2586,11 Acertos,620884,"R$ 5,00"
2585,15 Acertos,2,"R$ 766.848,72"
2585,14 Acertos,269,"R$ 1.707,81"
2585,13 Acertos,9637,"R$ 25,00"
2585,12 Acertos,128398,"R$ 10,00"
2585,11 Acertos,686958,"R$ 5,00"
2584,15 Acertos,2,"R$ 635.092,99"
2584,14 Acertos,203,"R$ 1.874,23"
2584,13 Acertos,7919,"R$ 25,00"
2584,12 Acertos,101936,"R$ 10,00"
2584,11 Acertos,598234,"R$ 5,00"
2583,15 Acertos,2,"R$ 686.328,19"
2583,14 Acertos,345,"R$ 1.191,78"
2583,13 Acertos,10915,"R$ 25,00"
2583,12 Acertos,125323,"R$ 10,00"
2583,11 Acertos,648323,"R$ 5,00"
2582,15 Acertos,1,"R$ 1.197.451,22"
2582,14 Acertos,290,"R$ 1.236,83"
2582,13 Acertos,9758,"R$ 25,00"
2582,12 Acertos,110104,"R$ 10,00"
2582,11 Acertos,586597,"R$ 5,00"
2581,15 Acertos,1,"R$ 1.667.566,08"
2581,14 Acertos,274,"R$ 1.822,99"
2581,13 Acertos,7272,"R$ 25,00"
2581,12 Acertos,91918,"R$ 10,00"
2581,11 Acertos,551081,"R$ 5,00"
2598,15 Acertos,0,"R$ 0,00"
2598,14 Acertos,199,"R$ 1.404,92"
2598,13 Acertos,8695,"R$ 25,00"
2598,12 Acertos,113668,"R$ 10,00"
2598,11 Acertos,641699,"R$ 5,00"
2597,15 Acertos,2,"R$ 1.935.877,36"
2597,14 Acertos,453,"R$ 1.573,65"
2597,13 Acertos,16565,"R$ 25,00"
2597,12 Acertos,206047,"R$ 10,00"
2597,11 Acertos,1123406,"R$ 5,00"
2580,15 Acertos,3,"R$ 1.360.733,57"
2580,14 Acertos,582,"R$ 921,39"
2580,13 Acertos,22053,"R$ 25,00"
2580,12 Acertos,218023,"R$ 10,00"
2580,11 Acertos,1077723,"R$ 5,00"
2579,15 Acertos,4,"R$ 371.783,14"
2579,14 Acertos,502,"R$ 887,35"
2579,13 Acertos,12145,"R$ 25,00"
2579,12 Acertos,116830,"R$ 10,00"
2579,11 Acertos,604653,"R$ 5,00"
2578,15 Acertos,2,"R$ 668.991,85"
2578,14 Acertos,203,"R$ 1.381,99"
2578,13 Acertos,7704,"R$ 25,00"
2578,12 Acertos,102448,"R$ 10,00"
2578,11 Acertos,569508,"R$ 5,00"
2577,15 Acertos,1,"R$ 1.526.441,34"
2577,14 Acertos,203,"R$ 1.576,65"
2577,13 Acertos,8571,"R$ 25,00"
2577,12 Acertos,112864,"R$ 10,00"
2577,11 Acertos,629655,"R$ 5,00"
2576,15 Acertos,1,"R$ 1.203.435,90"
2576,14 Acertos,321,"R$ 1.122,97"
2576,13 Acertos,9898,"R$ 25,00"
2576,12 Acertos,113996,"R$ 10,00"
2576,11 Acertos,613942,"R$ 5,00"
2573,15 Acertos,1,"R$ 1.628.200,87"
2573,14 Acertos,165,"R$ 2.069,07"
2573,13 Acertos,7845,"R$ 25,00"
2573,12 Acertos,110376,"R$ 10,00"
2573,11 Acertos,631055,"R$ 5,00"
2575,15 Acertos,5,"R$ 273.774,57"
2575,14 Acertos,300,"R$ 1.366,77"
2575,13 Acertos,10602,"R$ 25,00"
2575,12 Acertos,124302,"R$ 10,00"
2575,11 Acertos,660007,"R$ 5,00"
2574,15 Acertos,1,"R$ 1.239.162,95"
2574,14 Acertos,262,"R$ 1.416,70"
2574,13 Acertos,9651,"R$ 25,00"
2574,12 Acertos,113665,"R$ 10,00"
2574,11 Acertos,586094,"R$ 5,00"
2572,15 Acertos,1,"R$ 1.239.930,54"
2572,14 Acertos,182,"R$ 1.428,49"
2572,13 Acertos,7662,"R$ 25,00"
2572,12 Acertos,104378,"R$ 10,00"
2572,11 Acertos,607695,"R$ 5,00"
2571,15 Acertos,3,"R$ 462.895,93"
2571,14 Acertos,306,"R$ 1.359,36"
2571,13 Acertos,10364,"R$ 25,00"
2571,12 Acertos,126552,"R$ 10,00"
2571,11 Acertos,663595,"R$ 5,00"
2570,15 Acertos,4,"R$ 1.107.639,58"
2570,14 Acertos,837,"R$ 670,62"
2570,13 Acertos,28789,"R$ 25,00"
2570,12 Acertos,271730,"R$ 10,00"
2570,11 Acertos,1185374,"R$ 5,00"
2569,15 Acertos,1,"R$ 1.517.057,92"
2569,14 Acertos,319,"R$ 1.424,50"
2569,13 Acertos,21167,"R$ 25,00"
2569,12 Acertos,108388,"R$ 10,00"
2569,11 Acertos,645440,"R$ 5,00"
2568,15 Acertos,3,"R$ 1.244.037,81"
2568,14 Acertos,502,"R$ 1.188,51"
2568,13 Acertos,14016,"R$ 25,00"
2568,12 Acertos,150566,"R$ 10,00"
2568,11 Acertos,766576,"R$ 5,00"
2567,15 Acertos,0,"R$ 0,00"
2567,14 Acertos,267,"R$ 1.366,65"
2567,13 Acertos,8684,"R$ 25,00"
2567,12 Acertos,123837,"R$ 10,00"
2567,11 Acertos,718204,"R$ 5,00"
2566,15 Acertos,1,"R$ 1.662.789,58"
2566,14 Acertos,217,"R$ 1.606,68"
2566,13 Acertos,6980,"R$ 25,00"
2566,12 Acertos,102672,"R$ 10,00"
2566,11 Acertos,569949,"R$ 5,00"
2565,15 Acertos,8,"R$ 142.620,78"
2565,14 Acertos,734,"R$ 465,61"
2565,13 Acertos,19232,"R$ 25,00"
2565,12 Acertos,164926,"R$ 10,00"
2565,11 Acertos,748895,"R$ 5,00"
2564,15 Acertos,1,"R$ 1.556.317,42"
2564,14 Acertos,201,"R$ 1.623,51"
2564,13 Acertos,9755,"R$ 25,00"
2564,12 Acertos,102792,"R$ 10,00"
2564,11 Acertos,570055,"R$ 5,00"
2563,15 Acertos,1,"R$ 1.468.926,11"
2563,14 Acertos,278,"R$ 1.582,73"
2563,13 Acertos,10711,"R$ 25,00"
2563,12 Acertos,127388,"R$ 10,00"
2563,11 Acertos,665881,"R$ 5,00"
2562,15 Acertos,2,"R$ 700.068,90"
2562,14 Acertos,249,"R$ 1.684,32"
2562,13 Acertos,8540,"R$ 25,00"
2562,12 Acertos,101543,"R$ 10,00"
2562,11 Acertos,548926,"R$ 5,00"
2561,15 Acertos,2,"R$ 749.449,98"
2561,14 Acertos,346,"R$ 1.297,62"
2561,13 Acertos,10052,"R$ 25,00"
2561,12 Acertos,127529,"R$ 10,00"
2561,11 Acertos,692360,"R$ 5,00"
2560,15 Acertos,5,"R$ 852.722,39"
2560,14 Acertos,759,"R$ 778,53"
2560,13 Acertos,21395,"R$ 25,00"
2560,12 Acertos,230606,"R$ 10,00"
2560,11 Acertos,1084605,"R$ 5,00"
2559,15 Acertos,2,"R$ 556.506,66"
2559,14 Acertos,743,"R$ 448,70"
2559,13 Acertos,12824,"R$ 25,00"
2559,12 Acertos,129767,"R$ 10,00"
2559,11 Acertos,626971,"R$ 5,00"
2558,15 Acertos,1,"R$ 3.477.366,40"
2558,14 Acertos,362,"R$ 1.688,08"
2558,13 Acertos,12956,"R$ 25,00"
2558,12 Acertos,163123,"R$ 10,00"
2558,11 Acertos,886498,"R$ 5,00"
2557,15 Acertos,0,"R$ 0,00"
2557,14 Acertos,261,"R$ 1.649,50"
2557,13 Acertos,8230,"R$ 25,00"
2557,12 Acertos,101677,"R$ 10,00"
2557,11 Acertos,563673,"R$ 5,00"
2556,15 Acertos,1,"R$ 1.030.921,38"
2556,14 Acertos,310,"R$ 996,13"
2556,13 Acertos,8970,"R$ 25,00"
2556,12 Acertos,108360,"R$ 10,00"
2556,11 Acertos,584814,"R$ 5,00"
2555,15 Acertos,5,"R$ 291.349,27"
2555,14 Acertos,328,"R$ 1.330,34"
2555,13 Acertos,10912,"R$ 25,00"
2555,12 Acertos,91392,"R$ 10,00"
2555,11 Acertos,488626,"R$ 5,00"
2551,15 Acertos,2,"R$ 791.662,55"
2551,14 Acertos,315,"R$ 1.505,61"
2551,13 Acertos,11224,"R$ 25,00"
2551,12 Acertos,120832,"R$ 10,00"
2551,11 Acertos,629634,"R$ 5,00"
2549,15 Acertos,1,"R$ 1.799.605,72"
2549,14 Acertos,297,"R$ 1.814,99"
2549,13 Acertos,11731,"R$ 25,00"
2549,12 Acertos,127278,"R$ 10,00"
2549,11 Acertos,679676,"R$ 5,00"
2550,15 Acertos,3,"R$ 1.450.951,44"
2550,14 Acertos,433,"R$ 1.390,98"
2550,13 Acertos,15580,"R$ 25,00"
2550,12 Acertos,175272,"R$ 10,00"
2550,11 Acertos,927859,"R$ 5,00"
2553,15 Acertos,7,"R$ 167.492,48"
2553,14 Acertos,492,"R$ 713,80"
2553,13 Acertos,13713,"R$ 25,00"
2553,12 Acertos,142194,"R$ 10,00"
2553,11 Acertos,685117,"R$ 5,00"
2547,15 Acertos,0,"R$ 0,00"
2547,14 Acertos,233,"R$ 1.704,81"
2547,13 Acertos,9712,"R$ 25,00"
2547,12 Acertos,106895,"R$ 10,00"
2547,11 Acertos,590585,"R$ 5,00"
2546,15 Acertos,2,"R$ 636.470,99"
2546,14 Acertos,263,"R$ 1.449,79"
2546,13 Acertos,11692,"R$ 25,00"
2546,12 Acertos,128190,"R$ 10,00"
2546,11 Acertos,658698,"R$ 5,00"
2544,15 Acertos,4,"R$ 269.995,45"
2544,14 Acertos,399,"R$ 810,76"
2544,13 Acertos,15200,"R$ 25,00"
2544,12 Acertos,184223,"R$ 10,00"
2544,11 Acertos,777954,"R$ 5,00"
2545,15 Acertos,1,"R$ 1.278.727,33"
2545,14 Acertos,278,"R$ 1.377,80"
2545,13 Acertos,10403,"R$ 25,00"
2545,12 Acertos,117398,"R$ 10,00"
2545,11 Acertos,610258,"R$ 5,00"
2543,15 Acertos,4,"R$ 319.059,05"
2543,14 Acertos,250,"R$ 1.529,13"
2543,13 Acertos,9298,"R$ 25,00"
2543,12 Acertos,118273,"R$ 10,00"
2543,11 Acertos,648575,"R$ 5,00"
2542,15 Acertos,3,"R$ 392.825,35"
2542,14 Acertos,498,"R$ 708,83"
2542,13 Acertos,15100,"R$ 25,00"
2542,12 Acertos,156746,"R$ 10,00"
2542,11 Acertos,793408,"R$ 5,00"
2541,15 Acertos,1,"R$ 1.389.664,36"
2541,14 Acertos,244,"R$ 1.705,97"
2541,13 Acertos,8916,"R$ 25,00"
2541,12 Acertos,120307,"R$ 10,00"
2541,11 Acertos,680145,"R$ 5,00"
2538,15 Acertos,1,"R$ 1.865.629,16"
2538,14 Acertos,249,"R$ 1.571,01"
2538,13 Acertos,9024,"R$ 25,00"
2538,12 Acertos,114493,"R$ 10,00"
2538,11 Acertos,651198,"R$ 5,00"
2539,15 Acertos,1,"R$ 1.387.024,79"
2539,14 Acertos,203,"R$ 1.432,65"
2539,13 Acertos,8227,"R$ 25,00"
2539,12 Acertos,112197,"R$ 10,00"
2539,11 Acertos,652723,"R$ 5,00"
2540,15 Acertos,3,"R$ 1.968.602,86"
2540,14 Acertos,529,"R$ 1.544,83"
2540,13 Acertos,18104,"R$ 25,00"
2540,12 Acertos,225843,"R$ 10,00"
2540,11 Acertos,1217493,"R$ 5,00"
2537,15 Acertos,3,"R$ 435.336,04"
2537,14 Acertos,487,"R$ 803,28"
2537,13 Acertos,12060,"R$ 25,00"
2537,12 Acertos,121329,"R$ 10,00"
2537,11 Acertos,597083,"R$ 5,00"
2536,15 Acertos,4,"R$ 905.060,62"
2536,14 Acertos,596,"R$ 1.186,14"
2536,13 Acertos,17049,"R$ 25,00"
2536,12 Acertos,182073,"R$ 10,00"
2536,11 Acertos,953909,"R$ 5,00"
2534,15 Acertos,5,"R$ 718.802,08"
2534,14 Acertos,435,"R$ 1.513,38"
2534,13 Acertos,14904,"R$ 25,00"
2534,12 Acertos,184379,"R$ 10,00"
2534,11 Acertos,895885,"R$ 5,00"
2535,15 Acertos,0,"R$ 0,00"
2535,14 Acertos,235,"R$ 1.606,21"
2535,13 Acertos,8811,"R$ 25,00"
2535,12 Acertos,120388,"R$ 10,00"
2535,11 Acertos,643177,"R$ 5,00"
2533,15 Acertos,0,"R$ 0,00"
2533,14 Acertos,270,"R$ 1.548,97"
2533,13 Acertos,7502,"R$ 25,00"
2533,12 Acertos,95717,"R$ 10,00"
2533,11 Acertos,554009,"R$ 5,00"
2532,15 Acertos,1,"R$ 1.590.952,14"
2532,14 Acertos,192,"R$ 1.737,43"
2532,13 Acertos,8196,"R$ 25,00"
2532,12 Acertos,102310,"R$ 10,00"
2532,11 Acertos,598280,"R$ 5,00"
2531,15 Acertos,3,"R$ 2.914.103,29"
2531,14 Acertos,381,"R$ 1.985,99"
2531,13 Acertos,16050,"R$ 25,00"
2531,12 Acertos,222511,"R$ 10,00"
2531,11 Acertos,1313658,"R$ 5,00"
2530,15 Acertos,0,"R$ 0,00"
2530,14 Acertos,325,"R$ 1.741,39"
2530,13 Acertos,12998,"R$ 25,00"
2530,12 Acertos,179266,"R$ 10,00"
2530,11 Acertos,1018641,"R$ 5,00"
2529,15 Acertos,2,"R$ 594.784,99"
2529,14 Acertos,240,"R$ 1.484,67"
2529,13 Acertos,9526,"R$ 25,00"
2529,12 Acertos,102530,"R$ 10,00"
2529,11 Acertos,549518,"R$ 5,00"
2528,15 Acertos,4,"R$ 276.148,88"
2528,14 Acertos,255,"R$ 1.297,52"
2528,13 Acertos,10698,"R$ 25,00"
2528,12 Acertos,133232,"R$ 10,00"
2528,11 Acertos,703398,"R$ 5,00"
2552,15 Acertos,1,"R$ 1.177.958,10"
2552,14 Acertos,247,"R$ 1.428,52"
2552,13 Acertos,10116,"R$ 25,00"
2552,12 Acertos,115271,"R$ 10,00"
2552,11 Acertos,628659,"R$ 5,00"
2554,15 Acertos,2,"R$ 609.506,77"
2554,14 Acertos,219,"R$ 1.667,31"
2554,13 Acertos,8743,"R$ 25,00"
2554,12 Acertos,105844,"R$ 10,00"
2554,11 Acertos,547174,"R$ 5,00"
2548,15 Acertos,1,"R$ 3.234.731,10"
2548,14 Acertos,562,"R$ 1.017,27"
2548,13 Acertos,17264,"R$ 25,00"
2548,12 Acertos,210419,"R$ 10,00"
2548,11 Acertos,1075136,"R$ 5,00"
2527,15 Acertos,5,"R$ 270.269,79"
2527,14 Acertos,168,"R$ 1.686,59"
2527,13 Acertos,7604,"R$ 25,00"
2527,12 Acertos,100739,"R$ 10,00"
2527,11 Acertos,570498,"R$ 5,00"
2526,15 Acertos,2,"R$ 890.879,07"
2526,14 Acertos,184,"R$ 2.030,40"
2526,13 Acertos,7838,"R$ 25,00"
2526,12 Acertos,99572,"R$ 10,00"
2526,11 Acertos,581941,"R$ 5,00"
2525,15 Acertos,2,"R$ 707.835,50"
2525,14 Acertos,148,"R$ 2.005,64"
2525,13 Acertos,5975,"R$ 25,00"
2525,12 Acertos,93525,"R$ 10,00"
2525,11 Acertos,487254,"R$ 5,00"
2523,15 Acertos,1,"R$ 1.284.224,95"
2523,14 Acertos,362,"R$ 1.062,63"
2523,13 Acertos,11187,"R$ 25,00"
2523,12 Acertos,115840,"R$ 10,00"
2523,11 Acertos,573274,"R$ 5,00"
2524,15 Acertos,1,"R$ 1.370.463,72"
2524,14 Acertos,297,"R$ 1.382,18"
2524,13 Acertos,10736,"R$ 25,00"
2524,12 Acertos,115470,"R$ 10,00"
2524,11 Acertos,619076,"R$ 5,00"
2522,15 Acertos,4,"R$ 346.822,03"
2522,14 Acertos,366,"R$ 1.135,37"
2522,13 Acertos,11679,"R$ 25,00"
2522,12 Acertos,132708,"R$ 10,00"
2522,11 Acertos,696643,"R$ 5,00"
2521,15 Acertos,4,"R$ 377.378,53"
2521,14 Acertos,419,"R$ 1.079,13"
2521,13 Acertos,9668,"R$ 25,00"
2521,12 Acertos,107774,"R$ 10,00"
2521,11 Acertos,542873,"R$ 5,00"
2520,15 Acertos,3,"R$ 1.824.974,55"
2520,14 Acertos,520,"R$ 1.646,82"
2520,13 Acertos,17125,"R$ 25,00"
2520,12 Acertos,212295,"R$ 10,00"
2520,11 Acertos,1129853,"R$ 5,00"
2519,15 Acertos,1,"R$ 930.965,75"
2519,14 Acertos,340,"R$ 820,17"
2519,13 Acertos,13249,"R$ 25,00"
2519,12 Acertos,152389,"R$ 10,00"
2519,11 Acertos,716492,"R$ 5,00"
2518,15 Acertos,1,"R$ 1.569.226,94"
2518,14 Acertos,283,"R$ 1.660,93"
2518,13 Acertos,9740,"R$ 25,00"
2518,12 Acertos,133435,"R$ 10,00"
2518,11 Acertos,691752,"R$ 5,00"
2517,15 Acertos,2,"R$ 701.852,20"
2517,14 Acertos,335,"R$ 1.255,11"
2517,13 Acertos,11045,"R$ 25,00"
2517,12 Acertos,131826,"R$ 10,00"
2517,11 Acertos,647876,"R$ 5,00"
2516,15 Acertos,2,"R$ 860.319,95"
2516,14 Acertos,304,"R$ 1.695,39"
2516,13 Acertos,10217,"R$ 25,00"
2516,12 Acertos,119862,"R$ 10,00"
2516,11 Acertos,644700,"R$ 5,00"
2515,15 Acertos,1,"R$ 1.548.177,85"
2515,14 Acertos,295,"R$ 1.571,99"
2515,13 Acertos,9878,"R$ 25,00"
2515,12 Acertos,112036,"R$ 10,00"
2515,11 Acertos,625738,"R$ 5,00"
2514,15 Acertos,2,"R$ 900.330,37"
2514,14 Acertos,503,"R$ 1.072,30"
2514,13 Acertos,13070,"R$ 25,00"
2514,12 Acertos,136301,"R$ 10,00"
2514,11 Acertos,698782,"R$ 5,00"
2513,15 Acertos,2,"R$ 790.992,44"
2513,14 Acertos,321,"R$ 1.476,21"
2513,13 Acertos,9529,"R$ 25,00"
2513,12 Acertos,108440,"R$ 10,00"
2513,11 Acertos,564719,"R$ 5,00"
2512,15 Acertos,2,"R$ 806.435,77"
2512,14 Acertos,289,"R$ 1.671,68"
2512,13 Acertos,11072,"R$ 25,00"
2512,12 Acertos,124417,"R$ 10,00"
2512,11 Acertos,657985,"R$ 5,00"
2511,15 Acertos,3,"R$ 397.442,57"
2511,14 Acertos,329,"R$ 1.085,55"
2511,13 Acertos,12078,"R$ 25,00"
2511,12 Acertos,145488,"R$ 10,00"
2511,11 Acertos,656997,"R$ 5,00"
2510,15 Acertos,2,"R$ 2.302.941,77"
2510,14 Acertos,517,"R$ 1.348,87"
2510,13 Acertos,17628,"R$ 25,00"
2510,12 Acertos,207840,"R$ 10,00"
2510,11 Acertos,1116873,"R$ 5,00"
2509,15 Acertos,1,"R$ 1.095.613,68"
2509,14 Acertos,243,"R$ 1.350,53"
2509,13 Acertos,9668,"R$ 25,00"
2509,12 Acertos,131822,"R$ 10,00"
2509,11 Acertos,680637,"R$ 5,00"
2508,15 Acertos,3,"R$ 524.029,36"
2508,14 Acertos,326,"R$ 1.444,48"
2508,13 Acertos,10101,"R$ 25,00"
2508,12 Acertos,121535,"R$ 10,00"
2508,11 Acertos,644902,"R$ 5,00"
2506,15 Acertos,2,"R$ 629.367,41"
2506,14 Acertos,312,"R$ 1.208,46"
2506,13 Acertos,10917,"R$ 25,00"
2506,12 Acertos,130230,"R$ 10,00"
2506,11 Acertos,655810,"R$ 5,00"
2505,15 Acertos,1,"R$ 1.380.583,92"
2505,14 Acertos,191,"R$ 1.515,59"
2505,13 Acertos,7696,"R$ 25,00"
2505,12 Acertos,105675,"R$ 10,00"
2505,11 Acertos,585444,"R$ 5,00"
2504,15 Acertos,1,"R$ 1.331.204,43"
2504,14 Acertos,280,"R$ 1.424,09"
2504,13 Acertos,11035,"R$ 25,00"
2504,12 Acertos,126656,"R$ 10,00"
2504,11 Acertos,673245,"R$ 5,00"
2503,15 Acertos,2,"R$ 630.795,01"
2503,14 Acertos,253,"R$ 1.493,65"
2503,13 Acertos,8772,"R$ 25,00"
2503,12 Acertos,106906,"R$ 10,00"
2503,11 Acertos,572862,"R$ 5,00"
2502,15 Acertos,3,"R$ 404.057,36"
2502,14 Acertos,287,"R$ 1.265,13"
2502,13 Acertos,12326,"R$ 25,00"
2502,12 Acertos,166219,"R$ 10,00"
2502,11 Acertos,840341,"R$ 5,00"
2501,15 Acertos,1,"R$ 1.699.631,72"
2501,14 Acertos,296,"R$ 1.719,95"
2501,13 Acertos,9069,"R$ 25,00"
2501,12 Acertos,113308,"R$ 10,00"
2501,11 Acertos,639155,"R$ 5,00"
2495,15 Acertos,0,"R$ 0,00"
2495,14 Acertos,230,"R$ 1.680,07"
2495,13 Acertos,9347,"R$ 25,00"
2495,12 Acertos,113966,"R$ 10,00"
2495,11 Acertos,643146,"R$ 5,00"
2494,15 Acertos,1,"R$ 1.380.382,58"
2494,14 Acertos,336,"R$ 1.230,59"
2494,13 Acertos,11600,"R$ 25,00"
2494,12 Acertos,139691,"R$ 10,00"
2494,11 Acertos,701862,"R$ 5,00"
2493,15 Acertos,1,"R$ 1.334.431,94"
2493,14 Acertos,264,"R$ 1.514,07"
2493,13 Acertos,9716,"R$ 25,00"
2493,12 Acertos,115188,"R$ 10,00"
2493,11 Acertos,598842,"R$ 5,00"
2492,15 Acertos,1,"R$ 3.908.770,58"
2492,14 Acertos,401,"R$ 1.701,16"
2492,13 Acertos,13863,"R$ 25,00"
2492,12 Acertos,189853,"R$ 10,00"
2492,11 Acertos,1088916,"R$ 5,00"
2507,15 Acertos,1,"R$ 982.276,23"
2507,14 Acertos,343,"R$ 857,81"
2507,13 Acertos,16467,"R$ 25,00"
2507,12 Acertos,120932,"R$ 10,00"
2507,11 Acertos,632473,"R$ 5,00"
2491,15 Acertos,0,"R$ 0,00"
2491,14 Acertos,208,"R$ 1.644,54"
2491,13 Acertos,7739,"R$ 25,00"
2491,12 Acertos,101942,"R$ 10,00"
2491,11 Acertos,583487,"R$ 5,00"
2490,15 Acertos,1,"R$ 4.888.510,20"
2490,14 Acertos,516,"R$ 1.400,55"
2490,13 Acertos,15424,"R$ 25,00"
2490,12 Acertos,202967,"R$ 10,00"
2490,11 Acertos,1106072,"R$ 5,00"
2497,15 Acertos,2,"R$ 777.111,20"
2497,14 Acertos,190,"R$ 1.715,19"
2497,13 Acertos,7481,"R$ 25,00"
2497,12 Acertos,101899,"R$ 10,00"
2497,11 Acertos,600007,"R$ 5,00"
2496,15 Acertos,3,"R$ 941.973,09"
2496,14 Acertos,755,"R$ 609,34"
2496,13 Acertos,20868,"R$ 25,00"
2496,12 Acertos,224302,"R$ 10,00"
2496,11 Acertos,1102380,"R$ 5,00"
2488,15 Acertos,0,"R$ 0,00"
2488,14 Acertos,276,"R$ 1.715,89"
2488,13 Acertos,9264,"R$ 25,00"
2488,12 Acertos,112527,"R$ 10,00"
2488,11 Acertos,597813,"R$ 5,00"
2487,15 Acertos,2,"R$ 660.525,67"
2487,14 Acertos,486,"R$ 814,21"
2487,13 Acertos,14643,"R$ 25,00"
2487,12 Acertos,121763,"R$ 10,00"
2487,11 Acertos,568546,"R$ 5,00"
2486,15 Acertos,4,"R$ 331.916,76"
2486,14 Acertos,693,"R$ 573,86"
2486,13 Acertos,15235,"R$ 25,00"
2486,12 Acertos,141150,"R$ 10,00"
2486,11 Acertos,702460,"R$ 5,00"
2485,15 Acertos,2,"R$ 528.909,63"
2485,14 Acertos,315,"R$ 1.005,89"
2485,13 Acertos,10750,"R$ 25,00"
2485,12 Acertos,116712,"R$ 10,00"
2485,11 Acertos,580777,"R$ 5,00"
2484,15 Acertos,1,"R$ 1.273.499,82"
2484,14 Acertos,465,"R$ 820,35"
2484,13 Acertos,12987,"R$ 25,00"
2484,12 Acertos,130457,"R$ 10,00"
2484,11 Acertos,631656,"R$ 5,00"
2481,15 Acertos,1,"R$ 976.123,59"
2481,14 Acertos,369,"R$ 792,37"
2481,13 Acertos,11198,"R$ 25,00"
2481,12 Acertos,124705,"R$ 10,00"
2481,11 Acertos,615039,"R$ 5,00"
2482,15 Acertos,0,"R$ 0,00"
2482,14 Acertos,261,"R$ 1.415,70"
2482,13 Acertos,9779,"R$ 25,00"
2482,12 Acertos,118436,"R$ 10,00"
2482,11 Acertos,625466,"R$ 5,00"
2480,15 Acertos,3,"R$ 1.643.232,57"
2480,14 Acertos,301,"R$ 1.686,82"
2480,13 Acertos,11673,"R$ 25,00"
2480,12 Acertos,150785,"R$ 10,00"
2480,11 Acertos,884469,"R$ 5,00"
2479,15 Acertos,1,"R$ 954.324,30"
2479,14 Acertos,298,"R$ 959,25"
2479,13 Acertos,10454,"R$ 25,00"
2479,12 Acertos,117970,"R$ 10,00"
2479,11 Acertos,592362,"R$ 5,00"
2478,15 Acertos,1,"R$ 1.463.603,53"
2478,14 Acertos,171,"R$ 1.794,65"
2478,13 Acertos,8826,"R$ 25,00"
2478,12 Acertos,103006,"R$ 10,00"
2478,11 Acertos,586972,"R$ 5,00"
2477,15 Acertos,4,"R$ 835.568,35"
2477,14 Acertos,496,"R$ 1.047,16"
2477,13 Acertos,16120,"R$ 25,00"
2477,12 Acertos,181898,"R$ 10,00"
2477,11 Acertos,949748,"R$ 5,00"
2489,15 Acertos,3,"R$ 1.280.639,43"
2489,14 Acertos,517,"R$ 1.309,89"
2489,13 Acertos,16905,"R$ 25,00"
2489,12 Acertos,186537,"R$ 10,00"
2489,11 Acertos,975324,"R$ 5,00"
2476,15 Acertos,0,"R$ 0,00"
2476,14 Acertos,153,"R$ 2.204,07"
2476,13 Acertos,5981,"R$ 25,00"
2476,12 Acertos,84381,"R$ 10,00"
2476,11 Acertos,533125,"R$ 5,00"
2500,15 Acertos,2,"R$ 2.303.044,56"
2500,14 Acertos,388,"R$ 1.556,14"
2500,13 Acertos,15194,"R$ 25,00"
2500,12 Acertos,198967,"R$ 10,00"
2500,11 Acertos,1056911,"R$ 5,00"
2475,15 Acertos,2,"R$ 615.342,40"
2475,14 Acertos,343,"R$ 1.074,74"
2475,13 Acertos,10854,"R$ 25,00"
2475,12 Acertos,118051,"R$ 10,00"
2475,11 Acertos,592461,"R$ 5,00"
2498,15 Acertos,2,"R$ 771.993,40"
2498,14 Acertos,208,"R$ 1.556,44"
2498,13 Acertos,7308,"R$ 25,00"
2498,12 Acertos,98992,"R$ 10,00"
2498,11 Acertos,555487,"R$ 5,00"
2499,15 Acertos,2,"R$ 748.478,32"
2499,14 Acertos,321,"R$ 1.396,87"
2499,13 Acertos,10002,"R$ 25,00"
2499,12 Acertos,113447,"R$ 10,00"
2499,11 Acertos,597428,"R$ 5,00"
2474,15 Acertos,8,"R$ 173.831,14"
2474,14 Acertos,432,"R$ 964,24"
2474,13 Acertos,11662,"R$ 25,00"
2474,12 Acertos,120859,"R$ 10,00"
2474,11 Acertos,649316,"R$ 5,00"
2473,15 Acertos,1,"R$ 1.411.865,61"
2473,14 Acertos,137,"R$ 2.160,85"
2473,13 Acertos,6291,"R$ 25,00"
2473,12 Acertos,83572,"R$ 10,00"
2473,11 Acertos,476926,"R$ 5,00"
2472,15 Acertos,2,"R$ 1.667.991,55"
2472,14 Acertos,293,"R$ 1.517,28"
2472,13 Acertos,12090,"R$ 25,00"
2472,12 Acertos,155339,"R$ 10,00"
2472,11 Acertos,874343,"R$ 5,00"
2471,15 Acertos,0,"R$ 0,00"
2471,14 Acertos,208,"R$ 1.750,81"
2471,13 Acertos,7954,"R$ 25,00"
2471,12 Acertos,110427,"R$ 10,00"
2471,11 Acertos,605165,"R$ 5,00"
2470,15 Acertos,4,"R$ 1.078.029,66"
2470,14 Acertos,503,"R$ 1.301,99"
2470,13 Acertos,14722,"R$ 25,00"
2470,12 Acertos,188015,"R$ 10,00"
2470,11 Acertos,982968,"R$ 5,00"
2469,15 Acertos,2,"R$ 678.450,88"
2469,14 Acertos,152,"R$ 1.871,79"
2469,13 Acertos,7641,"R$ 25,00"
2469,12 Acertos,99662,"R$ 10,00"
2469,11 Acertos,581724,"R$ 5,00"
2468,15 Acertos,1,"R$ 1.148.829,20"
2468,14 Acertos,540,"R$ 637,25"
2468,13 Acertos,20808,"R$ 25,00"
